Project name,source,subid,Age [A],% TCPA Match [B],% Ad Copy Match [C],Distance Factor [D],Rate of Lead Ingestion [E],Trust Score (Normalized)
TT STMaTT,outshi,1169_Dupe,0.6333333333333333,0.3333333333333333,0.0,0.3429806566860774,0.5,10.0
TT STMaTT,outwha,2413,0.9833333333333333,0.3333333333333333,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
TT kIMaTT,outwha,1799,0.8166666666666667,0.625,0.0,0.8427560425657733,0.5,9.320754716981131
TT kIMaTT,odoblu,277,0.0,0.0,1.0,0.02055897396912551,0.5,1.0
TT kIMaTT,odoblu,277,0.3833333333333333,0.0,1.0,0.02055897396912551,0.5,10.0
TT kIMaTT,outwha,1006,0.9666666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,9.847457627118644
TT kIMaTT,outlau,1947,0.95,0.5,0.0,0.002604040546437196,0.5,1.0
TT kIMaTT,outwha,1006,0.9166666666666666,0.4772727272727273,0.0,0.8427560425657733,1.0,9.389830508474576
TT kIMaTT,outwha,1006,0.9833333333333333,0.4772727272727273,0.0,0.8427560425657733,1.0,10.0
TT kIMaTT,outwha,1006,0.95,0.4772727272727273,0.0,0.8427560425657733,1.0,9.694915254237289
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outlau,1522,1.0,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,10.0
TT kIMaTT,outshi,1166,0.95,0.5,0.0,0.3429806566860774,0.5,10.0
TT kIMaTT,outwha,1837,0.9333333333333333,1.0,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,outwha,2175,0.9333333333333333,0.3333333333333333,0.0,0.8427560425657733,0.5,10.0
